2022/08/11 18:11:05 user.go:37: get product cache failed , getting data from database 
2022/08/12 10:14:47 user.go:37: get username cache failed , getting data from database 
2022/08/12 10:15:51 user.go:37: get username cache failed , getting data from database 
2022/08/12 10:15:59 user.go:37: get username cache failed , getting data from database 
2022/08/12 10:31:33 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:11:33 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:11:37 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:27:15 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:43:14 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:43:27 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:43:32 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:44:33 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:45:06 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:45:52 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:48:41 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:50:00 user.go:37: get username cache failed , getting data from database 
2022/08/12 11:50:04 user.go:37: get username cache failed , getting data from database 
